num_passengers,trip_type,flight_hour,flight_day,booking_origin,wants_extra_baggage,wants_preferred_seat,flight_duration,booking_complete
1,RoundTrip,14,Wed,South Korea,0,0,6.62,0
2,RoundTrip,7,Wed,South Korea,1,0,6.62,0
1,RoundTrip,14,Fri,South Korea,0,1,6.62,0
1,RoundTrip,10,Wed,New Zealand,0,0,6.62,0
1,RoundTrip,9,Tue,New Zealand,1,0,6.62,0
1,RoundTrip,9,Wed,New Zealand,1,0,6.62,0
1,RoundTrip,8,Thu,South Korea,1,0,6.62,0
1,RoundTrip,2,Wed,South Korea,1,1,6.62,0
1,RoundTrip,14,Tue,South Korea,1,0,6.62,0
2,RoundTrip,4,Thu,South Korea,1,0,6.62,0
1,RoundTrip,6,Tue,South Korea,0,0,6.62,0
1,RoundTrip,14,Tue,New Zealand,1,0,6.62,0
1,RoundTrip,10,Mon,New Zealand,0,0,6.62,0
1,RoundTrip,9,Sun,South Korea,1,0,6.62,0
1,RoundTrip,2,Sat,South Korea,1,0,6.62,0
4,RoundTrip,9,Mon,New Zealand,1,1,6.62,0
1,RoundTrip,14,Sun,South Korea,1,0,6.62,0
4,RoundTrip,6,Sat,New Zealand,0,1,6.62,0
1,RoundTrip,7,Fri,South Korea,1,0,6.62,0
2,RoundTrip,10,Sun,New Zealand,0,0,6.62,0
1,RoundTrip,11,Wed,South Korea,1,0,6.62,0
1,RoundTrip,6,Tue,South Korea,1,0,6.62,0
1,RoundTrip,8,Mon,South Korea,1,0,6.62,0
1,RoundTrip,3,Mon,Japan,1,0,7,0
1,RoundTrip,13,Mon,Japan,1,0,7,0
1,RoundTrip,23,Sun,New Zealand,0,0,7,0
2,RoundTrip,5,Sun,New Zealand,1,0,7,0
1,RoundTrip,10,Sun,Japan,1,0,7,0
1,RoundTrip,11,Sat,Japan,0,0,7,0
1,RoundTrip,6,Fri,New Zealand,1,0,4.75,0
2,RoundTrip,3,Mon,New Zealand,1,0,4.75,0
2,RoundTrip,4,Thu,New Zealand,1,0,4.75,0
1,CircleTrip,3,Wed,New Zealand,1,0,4.75,0
1,CircleTrip,19,Tue,New Zealand,1,0,4.75,0
1,RoundTrip,3,Wed,New Zealand,1,0,4.75,0
1,OneWay,10,Tue,New Zealand,1,0,4.75,0
1,RoundTrip,17,Mon,Malaysia,0,0,8.83,1
1,RoundTrip,10,Tue,Malaysia,1,0,8.83,0
1,RoundTrip,16,Tue,Malaysia,1,0,8.83,0
2,RoundTrip,3,Tue,Malaysia,1,1,8.83,0
1,RoundTrip,14,Mon,Malaysia,1,0,8.83,1
1,RoundTrip,23,Tue,New Zealand,1,0,8.83,0
1,RoundTrip,9,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,5,Fri,New Zealand,1,0,8.83,0
1,RoundTrip,8,Mon,New Zealand,0,0,8.83,0
1,RoundTrip,4,Tue,New Zealand,0,0,8.83,0
1,RoundTrip,19,Tue,Malaysia,0,0,8.83,0
1,RoundTrip,2,Fri,Malaysia,1,1,8.83,0
1,RoundTrip,2,Tue,Singapore,1,0,8.83,1
1,RoundTrip,3,Tue,New Zealand,0,0,8.83,0
2,RoundTrip,19,Fri,Switzerland,1,0,8.83,0
1,RoundTrip,20,Wed,New Zealand,0,1,8.83,0
2,RoundTrip,18,Thu,New Zealand,1,0,8.83,0
1,RoundTrip,13,Fri,New Zealand,1,0,8.83,0
1,RoundTrip,1,Sun,Malaysia,1,1,8.83,0
2,RoundTrip,0,Mon,New Zealand,1,1,8.83,0
1,RoundTrip,23,Sun,New Zealand,0,0,8.83,0
1,OneWay,13,Tue,New Zealand,1,1,8.83,0
1,RoundTrip,8,Tue,Germany,1,0,8.83,0
1,RoundTrip,8,Mon,New Zealand,0,0,8.83,0
2,RoundTrip,8,Tue,New Zealand,1,0,8.83,0
2,RoundTrip,7,Thu,Malaysia,0,0,8.83,0
1,RoundTrip,23,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,16,Tue,Malaysia,1,0,8.83,1
2,RoundTrip,6,Mon,New Zealand,1,1,8.83,0
1,RoundTrip,10,Tue,New Zealand,1,1,8.83,0
1,RoundTrip,9,Sat,Malaysia,1,0,8.83,0
2,RoundTrip,2,Tue,New Zealand,1,1,8.83,0
1,RoundTrip,5,Tue,Malaysia,1,0,8.83,0
1,RoundTrip,2,Thu,Malaysia,0,0,8.83,0
1,RoundTrip,6,Thu,New Zealand,1,1,8.83,0
1,RoundTrip,4,Sun,Malaysia,0,1,8.83,0
6,RoundTrip,0,Sat,New Zealand,0,0,8.83,0
1,RoundTrip,2,Thu,New Zealand,1,1,8.83,0
4,RoundTrip,17,Mon,Malaysia,1,0,8.83,0
1,RoundTrip,0,Mon,Indonesia,0,0,8.83,0
1,RoundTrip,14,Tue,Malaysia,0,0,8.83,1
1,RoundTrip,10,Fri,New Zealand,1,0,8.83,0
1,RoundTrip,13,Thu,Malaysia,1,0,8.83,1
1,RoundTrip,4,Fri,New Zealand,1,0,8.83,0
2,RoundTrip,7,Sun,China,1,0,8.83,0
1,RoundTrip,14,Sat,New Zealand,0,0,8.83,0
1,RoundTrip,2,Tue,New Zealand,1,1,8.83,0
1,RoundTrip,12,Wed,Czech Republic,1,1,8.83,0
2,RoundTrip,11,Thu,Malaysia,1,0,8.83,0
2,RoundTrip,10,Sat,New Zealand,1,0,8.83,0
2,RoundTrip,3,Thu,New Zealand,1,0,8.83,0
4,RoundTrip,1,Thu,New Zealand,1,0,8.83,0
1,RoundTrip,9,Wed,New Zealand,0,1,8.83,0
4,RoundTrip,16,Sun,Malaysia,1,0,8.83,0
3,RoundTrip,13,Mon,Malaysia,1,1,8.83,1
2,RoundTrip,11,Tue,Malaysia,1,0,8.83,0
2,RoundTrip,18,Fri,Czech Republic,1,0,8.83,0
1,RoundTrip,6,Mon,Malaysia,0,0,8.83,0
2,RoundTrip,10,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,8,Fri,New Zealand,1,0,8.83,0
2,RoundTrip,6,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,3,Thu,New Zealand,1,0,8.83,0
1,RoundTrip,23,Wed,New Zealand,1,0,8.83,0
1,RoundTrip,3,Sat,Malaysia,1,0,8.83,0
1,RoundTrip,22,Mon,Malaysia,1,0,8.83,0
1,RoundTrip,1,Tue,New Zealand,1,0,8.83,0
1,RoundTrip,22,Wed,New Zealand,0,0,8.83,0
1,RoundTrip,1,Sat,New Zealand,0,0,8.83,0
1,RoundTrip,4,Sun,New Zealand,0,0,8.83,0
1,RoundTrip,13,Tue,Malaysia,0,0,8.83,0
1,RoundTrip,23,Tue,Singapore,1,0,8.83,1
1,RoundTrip,20,Wed,New Zealand,1,0,8.83,0
1,RoundTrip,9,Sun,Malaysia,1,0,8.83,0
5,RoundTrip,12,Thu,Malaysia,1,0,8.83,0
2,RoundTrip,8,Sat,New Zealand,1,1,8.83,0
1,RoundTrip,10,Sun,Vietnam,0,0,8.83,0
1,RoundTrip,13,Sun,Singapore,0,0,8.83,1
1,RoundTrip,9,Tue,New Zealand,1,0,8.83,0
1,RoundTrip,9,Mon,Malaysia,1,1,8.83,0
1,RoundTrip,12,Sat,Malaysia,0,0,8.83,0
1,RoundTrip,5,Thu,Malaysia,0,0,8.83,0
2,RoundTrip,23,Fri,New Zealand,1,0,8.83,0
1,RoundTrip,3,Thu,Malaysia,1,0,8.83,0
1,RoundTrip,20,Sun,Germany,1,0,8.83,0
1,RoundTrip,8,Tue,Malaysia,0,0,8.83,0
2,RoundTrip,11,Sun,New Zealand,1,0,8.83,0
1,RoundTrip,9,Wed,Malaysia,1,0,8.83,1
1,RoundTrip,9,Sat,Thailand,1,0,8.83,0
5,RoundTrip,8,Fri,New Zealand,1,1,8.83,0
2,RoundTrip,0,Sat,New Zealand,1,0,8.83,0
1,RoundTrip,20,Sat,New Zealand,1,0,8.83,0
2,RoundTrip,20,Sun,Spain,1,1,8.83,0
1,RoundTrip,8,Wed,New Zealand,1,1,8.83,0
1,RoundTrip,12,Tue,Malaysia,1,0,8.83,0
1,RoundTrip,10,Tue,New Zealand,1,0,8.83,0
5,RoundTrip,13,Sun,Malaysia,1,0,8.83,0
4,RoundTrip,5,Thu,New Zealand,1,1,8.83,0
5,RoundTrip,10,Fri,Malaysia,1,0,8.83,0
1,RoundTrip,13,Tue,Malaysia,1,0,8.83,1
2,RoundTrip,17,Tue,Malaysia,1,0,8.83,0
2,RoundTrip,1,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,15,Mon,Romania,1,0,8.83,0
2,RoundTrip,4,Wed,Malaysia,1,1,8.83,0
4,RoundTrip,9,Mon,New Zealand,0,0,8.83,0
1,RoundTrip,9,Fri,Ireland,0,0,8.83,0
1,RoundTrip,7,Wed,Malaysia,0,0,8.83,0
1,RoundTrip,8,Sun,New Zealand,1,0,8.83,0
1,RoundTrip,13,Sun,Malaysia,0,1,8.83,1
1,RoundTrip,9,Mon,New Zealand,1,0,8.83,0
2,RoundTrip,23,Tue,Malaysia,1,0,8.83,0
1,RoundTrip,10,Tue,Malaysia,0,0,8.83,0
1,RoundTrip,21,Wed,New Zealand,1,0,8.83,0
2,RoundTrip,17,Sat,Italy,1,0,8.83,0
1,RoundTrip,21,Thu,New Zealand,1,1,8.83,0
5,RoundTrip,13,Sun,Malaysia,1,0,8.83,0
1,RoundTrip,1,Wed,New Zealand,1,0,8.83,0
1,RoundTrip,2,Fri,New Zealand,0,0,8.83,0
1,RoundTrip,9,Mon,Slovakia,1,0,8.83,0
4,RoundTrip,6,Sun,Malaysia,1,1,8.83,0
4,RoundTrip,14,Thu,Malaysia,1,0,8.83,1
5,RoundTrip,2,Tue,Malaysia,1,1,8.83,1
1,RoundTrip,16,Sun,Malaysia,1,0,8.83,0
2,RoundTrip,2,Mon,Malaysia,0,0,8.83,0
1,RoundTrip,12,Wed,United Arab Emirates,1,0,8.83,0
2,RoundTrip,6,Wed,Tonga,0,0,8.83,0
1,RoundTrip,6,Fri,Malaysia,1,0,8.83,0
1,RoundTrip,6,Tue,Germany,1,1,8.83,1
1,RoundTrip,15,Thu,Malaysia,1,0,8.83,0
1,RoundTrip,7,Sat,Malaysia,1,1,8.83,0
1,RoundTrip,11,Sun,Germany,1,0,8.83,0
1,RoundTrip,7,Sat,New Zealand,1,0,8.83,0
1,RoundTrip,2,Sat,New Zealand,1,0,8.83,0
1,RoundTrip,3,Sun,New Zealand,0,0,8.83,0
1,RoundTrip,4,Wed,New Zealand,1,1,8.83,0
1,RoundTrip,7,Sun,New Zealand,1,0,8.83,0
2,RoundTrip,1,Mon,New Zealand,0,0,8.83,0
2,RoundTrip,4,Sun,New Zealand,1,0,8.83,0
2,RoundTrip,8,Fri,New Zealand,1,0,8.83,0
2,RoundTrip,8,Sun,New Zealand,0,0,8.83,0
2,RoundTrip,13,Mon,R‚union,1,0,8.83,0
1,RoundTrip,4,Thu,Japan,1,0,8.83,0
3,RoundTrip,16,Tue,Malaysia,0,0,8.83,0
2,RoundTrip,11,Mon,New Zealand,0,0,8.83,1
3,RoundTrip,8,Tue,New Zealand,0,0,8.83,0
1,RoundTrip,1,Sun,New Zealand,1,1,8.83,0
1,RoundTrip,11,Mon,Malaysia,0,0,8.83,0
1,RoundTrip,16,Fri,Malaysia,1,1,8.83,0
1,RoundTrip,6,Mon,Malaysia,0,0,8.83,0
1,RoundTrip,3,Wed,New Zealand,1,0,8.83,0
1,RoundTrip,8,Tue,New Zealand,1,0,8.83,0
3,RoundTrip,0,Thu,New Zealand,1,0,8.83,0
2,RoundTrip,16,Tue,Malaysia,1,0,8.83,0
1,RoundTrip,3,Wed,New Zealand,0,0,8.83,0
2,RoundTrip,22,Tue,Malaysia,1,0,8.83,1
1,RoundTrip,11,Sat,New Zealand,0,0,8.83,0
1,RoundTrip,6,Tue,New Zealand,1,0,8.83,0
2,RoundTrip,4,Thu,Malaysia,1,0,8.83,1
2,RoundTrip,15,Thu,Malaysia,1,0,8.83,0
1,RoundTrip,2,Sat,Malaysia,1,0,8.83,0
2,RoundTrip,6,Mon,New Zealand,1,1,8.83,0
1,RoundTrip,13,Tue,New Zealand,1,0,8.83,0
1,RoundTrip,7,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,12,Thu,New Zealand,1,0,8.83,0
4,RoundTrip,16,Sun,Malaysia,0,0,8.83,0
1,RoundTrip,15,Sun,Malaysia,0,0,8.83,0
1,RoundTrip,21,Sun,New Zealand,0,0,8.83,0
3,RoundTrip,7,Wed,Vietnam,1,1,8.83,0
1,RoundTrip,9,Sat,New Zealand,1,0,8.83,0
1,RoundTrip,12,Thu,Malaysia,0,0,8.83,0
1,RoundTrip,14,Thu,Malaysia,1,0,8.83,0
2,RoundTrip,10,Sat,(not set),1,0,8.83,1
2,RoundTrip,14,Thu,Malaysia,0,0,8.83,0
1,RoundTrip,7,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,3,Sun,New Zealand,1,0,8.83,0
2,RoundTrip,7,Sun,New Zealand,1,0,8.83,0
1,RoundTrip,9,Sat,New Zealand,0,0,8.83,0
1,RoundTrip,10,Fri,Malaysia,1,1,8.83,1
1,RoundTrip,4,Wed,Malaysia,1,0,8.83,0
1,OneWay,23,Sun,New Zealand,1,0,8.83,0
2,RoundTrip,10,Mon,New Zealand,0,0,8.83,0
1,RoundTrip,2,Fri,Malaysia,1,0,8.83,1
1,RoundTrip,8,Sun,Malaysia,1,0,8.83,0
1,RoundTrip,15,Thu,Malaysia,1,1,8.83,0
1,RoundTrip,8,Tue,New Zealand,0,1,8.83,0
4,RoundTrip,6,Sun,Malaysia,1,0,8.83,0
1,RoundTrip,13,Thu,India,1,0,8.83,0
2,RoundTrip,8,Wed,Malaysia,1,0,8.83,0
4,RoundTrip,10,Fri,Malaysia,1,0,8.83,1
1,RoundTrip,9,Sun,Malaysia,1,0,8.83,1
5,RoundTrip,12,Thu,Malaysia,1,0,8.83,1
1,RoundTrip,9,Mon,New Zealand,1,0,8.83,0
2,RoundTrip,21,Thu,New Zealand,1,0,8.83,0
1,RoundTrip,8,Tue,Malaysia,1,1,8.83,0
1,RoundTrip,4,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,7,Sun,Saudi Arabia,0,0,8.83,1
4,RoundTrip,4,Sun,Malaysia,0,0,8.83,0
1,RoundTrip,5,Fri,New Zealand,1,1,8.83,0
1,RoundTrip,8,Sun,New Zealand,1,1,8.83,0
1,RoundTrip,3,Wed,Singapore,1,0,8.83,1
2,RoundTrip,13,Fri,Malaysia,1,1,8.83,0
1,RoundTrip,14,Sat,Malaysia,0,0,8.83,0
3,RoundTrip,3,Sun,Malaysia,1,0,8.83,0
4,RoundTrip,23,Sat,New Zealand,1,0,8.83,0
1,RoundTrip,15,Wed,Malaysia,1,1,8.83,0
2,RoundTrip,21,Thu,New Zealand,1,0,8.83,0
1,RoundTrip,7,Sun,Malaysia,0,0,8.83,0
1,RoundTrip,3,Sun,New Zealand,1,0,8.83,0
1,RoundTrip,15,Wed,Malaysia,1,0,8.83,0
1,RoundTrip,16,Sun,Malaysia,0,0,8.83,1
1,RoundTrip,2,Thu,New Zealand,1,0,8.83,0
2,RoundTrip,8,Fri,Malaysia,1,0,8.83,1
1,RoundTrip,17,Tue,Netherlands,1,0,8.83,0
2,RoundTrip,11,Fri,New Zealand,1,0,8.83,0
1,RoundTrip,5,Fri,New Zealand,1,1,8.83,0
1,RoundTrip,6,Wed,New Zealand,0,0,8.83,1
1,RoundTrip,4,Fri,New Zealand,0,0,8.83,0
1,RoundTrip,13,Fri,Germany,1,0,8.83,0
1,RoundTrip,9,Sat,Malaysia,0,0,8.83,1
2,RoundTrip,12,Mon,Malaysia,1,0,8.83,1
1,RoundTrip,8,Tue,New Zealand,1,0,8.83,0
1,RoundTrip,9,Sun,New Zealand,0,0,8.83,0
2,RoundTrip,8,Sun,New Zealand,1,0,8.83,0
1,RoundTrip,12,Fri,New Zealand,0,0,8.83,0
3,RoundTrip,9,Sat,New Zealand,0,0,8.83,0
1,OneWay,0,Wed,New Zealand,1,0,8.83,0
1,RoundTrip,14,Sun,Malaysia,0,1,8.83,0
3,RoundTrip,6,Sat,Malaysia,1,0,8.83,0
2,RoundTrip,12,Sat,Malaysia,1,1,8.83,0
1,RoundTrip,9,Thu,New Zealand,1,0,8.83,0
1,RoundTrip,7,Sun,New Zealand,1,0,8.83,0
3,RoundTrip,20,Mon,New Zealand,1,1,8.83,0
1,RoundTrip,9,Fri,Malaysia,1,0,8.83,1
2,RoundTrip,1,Fri,New Zealand,0,0,8.83,0
1,RoundTrip,14,Thu,Malaysia,1,1,8.83,0
5,RoundTrip,13,Sun,Malaysia,1,0,8.83,0
1,RoundTrip,3,Fri,Malaysia,1,0,8.83,0
2,RoundTrip,4,Mon,Indonesia,1,0,8.83,0
1,RoundTrip,3,Mon,New Zealand,0,0,8.83,1
2,RoundTrip,2,Sun,Malaysia,1,0,8.83,1
1,RoundTrip,6,Fri,Malaysia,1,1,8.83,0
1,RoundTrip,11,Fri,Qatar,1,1,8.83,1
1,RoundTrip,22,Tue,Malaysia,0,0,8.83,0
2,RoundTrip,7,Tue,Malaysia,1,0,8.83,0
1,RoundTrip,9,Sun,New Zealand,1,0,8.83,0
1,RoundTrip,11,Wed,New Zealand,1,0,8.83,0
2,RoundTrip,2,Wed,New Zealand,1,1,8.83,0
1,RoundTrip,9,Wed,Malaysia,0,0,8.83,0
1,RoundTrip,13,Sat,Germany,1,1,8.83,1
3,RoundTrip,8,Tue,New Zealand,1,1,8.83,1
1,RoundTrip,5,Thu,Hong Kong,0,0,8.83,0
2,RoundTrip,9,Sun,New Zealand,0,0,8.83,0
1,RoundTrip,23,Wed,New Zealand,1,0,8.83,0
1,RoundTrip,7,Mon,Japan,1,0,8.83,1
1,RoundTrip,7,Sat,Malaysia,1,0,8.83,0
3,RoundTrip,3,Wed,New Zealand,1,0,8.83,0
2,RoundTrip,4,Thu,Malaysia,0,0,8.83,1
2,OneWay,8,Fri,New Zealand,1,0,8.83,0
1,RoundTrip,3,Mon,New Zealand,1,1,8.83,0
1,RoundTrip,15,Thu,New Zealand,0,0,8.83,0
2,RoundTrip,7,Thu,Malaysia,1,0,8.83,1
1,RoundTrip,15,Sun,Malaysia,1,0,8.83,0
6,RoundTrip,5,Sun,Malaysia,1,0,8.83,0
2,RoundTrip,17,Sun,Malaysia,1,1,8.83,1
1,RoundTrip,5,Tue,Malaysia,0,0,8.83,0
4,RoundTrip,0,Mon,Malaysia,1,0,8.83,0
1,RoundTrip,8,Wed,New Zealand,0,0,8.83,0
4,RoundTrip,6,Sun,Malaysia,1,0,8.83,1
4,RoundTrip,4,Sun,Malaysia,1,0,8.83,0
2,RoundTrip,12,Sun,Malaysia,0,0,8.83,1
2,RoundTrip,10,Tue,Malaysia,1,1,8.83,0
2,RoundTrip,14,Wed,Malaysia,0,1,8.83,0
1,RoundTrip,7,Mon,New Zealand,0,0,8.83,0
1,RoundTrip,8,Sun,Indonesia,0,0,8.83,0
5,OneWay,14,Mon,Hong Kong,1,1,8.83,0
1,RoundTrip,10,Tue,Thailand,1,0,8.83,0
1,RoundTrip,8,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,1,Sun,New Zealand,0,0,8.83,0
2,RoundTrip,17,Thu,Switzerland,1,0,8.83,0
2,RoundTrip,16,Tue,Japan,1,0,8.83,0
1,RoundTrip,0,Wed,New Zealand,1,0,8.83,0
3,RoundTrip,15,Wed,Malaysia,1,0,8.83,1
2,RoundTrip,22,Wed,New Zealand,1,0,8.83,0
3,RoundTrip,2,Mon,Malaysia,1,1,8.83,0
1,RoundTrip,9,Sun,Malaysia,1,0,8.83,0
1,RoundTrip,11,Tue,Malaysia,1,0,8.83,1
5,RoundTrip,10,Wed,Malaysia,1,1,8.83,1
2,RoundTrip,6,Mon,New Zealand,1,1,8.83,1
2,RoundTrip,15,Tue,Malaysia,1,1,8.83,0
2,RoundTrip,12,Fri,Malaysia,1,0,8.83,1
1,RoundTrip,3,Thu,Malaysia,1,1,8.83,0
1,RoundTrip,5,Tue,New Zealand,1,0,8.83,0
1,RoundTrip,8,Wed,New Zealand,0,1,8.83,0
2,RoundTrip,9,Fri,Malaysia,1,0,8.83,0
1,RoundTrip,10,Wed,New Zealand,0,0,8.83,0
2,RoundTrip,6,Thu,New Zealand,1,0,8.83,0
1,RoundTrip,15,Fri,Malaysia,1,0,8.83,1
1,RoundTrip,12,Fri,New Zealand,1,0,8.83,0
1,RoundTrip,3,Wed,Malaysia,1,0,8.83,0
1,RoundTrip,7,Thu,Malaysia,1,0,8.83,0
1,RoundTrip,6,Wed,New Zealand,1,1,8.83,0
4,RoundTrip,13,Tue,Philippines,1,0,8.83,0
2,RoundTrip,8,Fri,New Zealand,1,0,8.83,0
5,RoundTrip,13,Sun,Malaysia,1,0,8.83,0
2,RoundTrip,21,Sun,New Zealand,1,1,8.83,0
1,RoundTrip,8,Wed,New Zealand,1,0,8.83,0
1,RoundTrip,6,Tue,Malaysia,1,0,8.83,1
1,RoundTrip,9,Sun,New Zealand,1,0,8.83,0
1,RoundTrip,17,Sat,United Kingdom,1,0,8.83,0
1,RoundTrip,15,Sun,Malaysia,0,1,8.83,0
1,RoundTrip,0,Sat,New Zealand,1,0,8.83,0
1,RoundTrip,13,Wed,Malaysia,1,0,8.83,0
2,RoundTrip,16,Tue,Malaysia,1,0,8.83,0
3,RoundTrip,1,Fri,Malaysia,1,1,8.83,0
2,RoundTrip,4,Sat,Malaysia,0,0,8.83,0
1,RoundTrip,7,Sun,Malaysia,1,0,8.83,0
1,RoundTrip,2,Wed,Malaysia,1,0,8.83,0
2,RoundTrip,5,Mon,Malaysia,1,0,8.83,0
2,RoundTrip,15,Fri,Malaysia,1,0,8.83,0
1,RoundTrip,10,Tue,New Zealand,1,0,8.83,0
2,RoundTrip,7,Thu,New Zealand,1,0,8.83,0
2,RoundTrip,16,Sat,Malaysia,1,1,8.83,0
1,RoundTrip,12,Mon,Sri Lanka,0,0,8.83,0
2,RoundTrip,17,Sat,Malaysia,1,1,8.83,0
1,RoundTrip,3,Tue,New Zealand,1,1,8.83,0
1,RoundTrip,7,Wed,Malaysia,0,0,8.83,1
1,RoundTrip,17,Fri,Malaysia,0,0,8.83,0
1,RoundTrip,11,Tue,New Zealand,1,1,8.83,0
2,RoundTrip,8,Fri,New Zealand,1,0,8.83,0
1,RoundTrip,3,Mon,New Zealand,0,1,8.83,0
1,RoundTrip,15,Sun,Malaysia,0,0,8.83,1
2,RoundTrip,6,Sat,New Zealand,1,0,8.83,0
2,RoundTrip,7,Wed,Malaysia,1,1,8.83,0
1,RoundTrip,9,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,12,Fri,Malaysia,1,0,8.83,0
1,RoundTrip,6,Sun,New Zealand,1,1,8.83,0
1,RoundTrip,7,Sat,Malaysia,1,1,8.83,0
1,RoundTrip,11,Sun,Malaysia,0,0,8.83,0
2,RoundTrip,12,Wed,Singapore,1,1,8.83,1
2,RoundTrip,8,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,15,Fri,Germany,1,0,8.83,0
2,RoundTrip,12,Wed,Malaysia,1,0,8.83,0
2,RoundTrip,8,Wed,Malaysia,1,0,8.83,0
1,RoundTrip,7,Tue,Japan,1,0,8.83,0
1,RoundTrip,14,Wed,Malaysia,1,1,8.83,1
5,RoundTrip,4,Thu,New Zealand,1,0,8.83,0
1,RoundTrip,6,Mon,Malaysia,0,0,8.83,0
2,RoundTrip,4,Mon,New Zealand,1,0,8.83,0
1,RoundTrip,16,Sun,Malaysia,1,0,8.83,0
4,RoundTrip,9,Wed,New Zealand,1,1,8.83,0
1,RoundTrip,16,Sun,Malaysia,1,0,8.83,0
1,RoundTrip,8,Tue,New Zealand,0,1,8.83,0
1,RoundTrip,1,Sun,Malaysia,1,1,8.83,0
1,RoundTrip,7,Mon,Malaysia,0,0,8.83,0
2,RoundTrip,10,Sat,Malaysia,1,0,8.83,0
2,RoundTrip,17,Wed,France,0,0,8.83,1
1,RoundTrip,8,Mon,Malaysia,1,0,8.83,0
2,RoundTrip,21,Thu,New Zealand,0,0,8.83,0
1,RoundTrip,5,Mon,Malaysia,0,0,8.83,0
6,RoundTrip,12,Tue,New Zealand,1,0,8.83,0
1,RoundTrip,6,Tue,Malaysia,1,0,8.83,0
1,RoundTrip,19,Fri,New Zealand,1,0,8.83,0
1,RoundTrip,7,Tue,New Zealand,1,0,8.83,0
1,RoundTrip,20,Tue,Germany,1,0,8.83,0
1,RoundTrip,5,Wed,United Kingdom,0,0,8.83,1
1,RoundTrip,14,Wed,Croatia,0,0,8.83,0
1,RoundTrip,9,Fri,Malaysia,1,0,8.83,0
1,RoundTrip,3,Wed,Malaysia,1,0,8.83,1
2,RoundTrip,15,Sun,Germany,0,0,8.83,0
3,RoundTrip,4,Tue,Singapore,1,0,8.83,0
2,RoundTrip,10,Thu,New Zealand,1,0,8.83,0
